平台編號PK,活動編號FK,藝人編號FK,平台名稱
PLTd3c58851,P13CXC1H,ART1fbc419d,寬宏售票
PLT3d4b7985,P13Q8811,ARTc12af95b,寬宏售票
PLT8b29ae78,P146X7EM,ARTc12af95b,寬宏售票
PLT815cae45,P146ZZ27,ARTc12af95b,寬宏售票
PLT613f2d19,P14P0WWM,ARTfa69d033,寬宏售票
PLTbd9c6afc,P151LDVJ,ARTc12af95b,寬宏售票
PLTf08c3126,P15IVY2U,ARTc12af95b,寬宏售票
PLT40de3d50,P15S1OY7,ART5e1687ec,寬宏售票
PLT29c56faa,P15VPHA7,ART356b43b5,寬宏售票
PLT56a35d35,P161ZSTV,ARTc12af95b,寬宏售票
PLT20ca2c6d,P163GNQQ,ARTf36d3907,寬宏售票
PLT7328a1b8,P16R5CCL,ART37281548,寬宏售票
PLT4e21da3b,P16WCOG4,ARTc12af95b,寬宏售票
PLT69a5b6d4,P16WCPOT,ARTc12af95b,寬宏售票
PLTdfaf0bb1,P16WK115,ART90e8f1eb,寬宏售票
PLT11c4b7d1,P17IDZEW,ARTc12af95b,寬宏售票
PLTa2ea7681,P17NTP1G,ARTc12af95b,寬宏售票
PLT4e599b7d,P17O07YI,ART13047fee,寬宏售票
PLTe0858d0b,P17P7FTE,ARTc12af95b,寬宏售票
