活動編號PK,場地編號FK,藝人編號FK,活動名稱,票價,票種,活動時間,售票時間,活動連結
P13CXC1H,LOC41ebf90e,ART1fbc419d,全本音樂劇《歌劇魅影》The Phantom of the Opera,50元、80元,身障票、套票,,開賣日期：2025/11/19(三)下午2點,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P13CXC1H#
P13Q8811,LOC11ea8159,ARTc12af95b,未提供_P13Q8811,50元、80元、100元、400元、450元,套票、單人票、青春票,,,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P13Q8811#
P146X7EM,LOC11ea8159,ARTc12af95b,未提供_P146X7EM,50元、80元、100元、400元、450元,套票、單人票、青春票,,,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P146X7EM#
P146ZZ27,LOC523cb4f3,ARTc12af95b,未提供_P146ZZ27,50元、80元,身障票、套票,,全面啟售：2025年12月17日(三)上午11點11分,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P146ZZ27#
P14P0WWM,LOC41ebf90e,ARTfa69d033,辛曉琪2026《好好愛 此刻》演唱會,50元、80元,身障票、套票,,全面啟售：2025年12月26日(五)中午12點,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P14P0WWM#
P151LDVJ,LOC41ebf90e,ARTc12af95b,未提供_P151LDVJ,50元、80元,身障票、套票,,開賣時間：2026年01月16日(五)中午12點,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P151LDVJ#
P15IVY2U,LOCb05e0b3c,ARTc12af95b,未提供_P15IVY2U,50元、80元、400 元,身障票、套票,,開賣日期：2026/01/22(四)中午12點 全面開賣,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P15IVY2U#
P15S1OY7,LOC41ebf90e,ART5e1687ec,2026 李翊君《翊起聽見愛》演唱會｜高雄場,50元、80元,身障票、套票,,開賣時間：2026年01月29日(四)中午12點,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P15S1OY7#
P15VPHA7,LOC41ebf90e,ART356b43b5,AiNA THE END 2026「PICNIC」巡迴演唱會 台北站 AiNA THE END LIVE 2026 – PICNIC – in Taipei,50元、80元,身障票、套票,,,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P15VPHA7#
P161ZSTV,LOC41ebf90e,ARTc12af95b,請先選擇「門票」後再選擇「VIP Package」,10元、50元、80元、3980元、3990元,身障票、套票、VIP,,開賣時間：2026年01月29日(四)中午12點,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P161ZSTV#
P163GNQQ,LOCc2ea6da7,ARTf36d3907,全本音樂劇《萬世巨星》JESUS CHRIST SUPERSTAR,50元、80元,身障票、套票,,購票時間00:10-19:50,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P163GNQQ#
P16R5CCL,LOC41ebf90e,ART37281548,2026 施孝榮《不是你想的那樣》讚聲演唱會,50元、80元,身障票、套票,,購票時間00:10-19:50,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P16R5CCL#
P16WCOG4,LOC41ebf90e,ARTc12af95b,未提供_P16WCOG4,50元、80元,身障票、套票,,購票時間00:10-19:50,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P16WCOG4#
P16WCPOT,LOC41ebf90e,ARTc12af95b,未提供_P16WCPOT,50元、80元,身障票、套票,,購票時間00:10-19:50,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P16WCPOT#
P16WK115,LOC41ebf90e,ART90e8f1eb,2026薛恩Sean《RE:BORN: LEVEL UP》讚聲演唱會,50元、80元,身障票、套票,,購票時間00:10-19:50,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P16WK115#
P17IDZEW,LOC1f7b8d26,ARTc12af95b,未提供_P17IDZEW,50元、80元,身障票、套票,,開賣日期：2026/03/06(五)上午11點 全面開賣,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P17IDZEW#
P17NTP1G,LOC523cb4f3,ARTc12af95b,【預購商品】戴佩妮 2026「雙生火焰」高雄巨蛋演唱會,,套票,,,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P17NTP1G#
P17O07YI,LOC41ebf90e,ART13047fee,藤原櫻 Live in Taipei 2026,50元、80元,身障票、套票,,購票時間00:10-19:50,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P17O07YI#
P17P7FTE,LOC41ebf90e,ARTc12af95b,請先選擇「門票」後再選擇「VIP Package」 「(節目A)【 2500元門票 】賴雅妍《26的妍唱會》讚聲演唱會」 2500元門票1張,10元、50元、80元、2500元、2510元,身障票、套票、VIP,,購票時間00:10-19:50,https://kham.com.tw/application/UTK02/UTK0201_.aspx?PRODUCT_ID=P17P7FTE#
